Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Ut_Operativa;Empl_Operativo;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Vegas;2024;nov;400775517;221024872;179750645;36921891;15;1399;2170;Baja
Zonas Secundarias;Vegas;2024;dic;468524323;228521183;240003140;69478279;14;1535;2010;Baja
Zona Bogota;Bogota Calle 13;2021;ene;299325646;217801551;81524095;-82074179;32;1676;4410;Perdida
Zona Bogota;Bogota Calle 13;2021;feb;462791315;325086290;137705025;-65090072;32;2271;4410;Perdida
Zona Bogota;Bogota Calle 13;2021;mar;695122706;329714510;365408196;152615649;31;2919;4250;Baja
Zona Bogota;Bogota Calle 13;2021;abr;247412027;213307642;34104385;-54530961;30;2104;4410;Perdida
Zona Bogota;Bogota Calle 13;2021;may;407532934;245882260;161650674;-17478803;30;2101;4410;Perdida
Zona Bogota;Bogota Calle 13;2021;jun;489018742;283387527;205631215;3526189;30;2604;4410;Perdida
Zona Bogota;Bogota Calle 13;2021;jul;546758579;310991028;235767551;48673125;35;2879;4410;Baja
Zona Bogota;Bogota Calle 13;2021;ago;524375357;287257696;237117661;46858591;35;3009;4410;Baja
Zona Bogota;Bogota Calle 13;2021;sep;567222938;306999238;260223700;67683281;34;3141;4570;Baja
Zona Bogota;Bogota Calle 13;2021;oct;572954329;304804316;268150013;51593386;34;3201;4250;Baja
Zona Bogota;Bogota Calle 13;2021;nov;517000028;260779655;256220373;42236843;36;2792;4570;Baja
Zona Bogota;Bogota Calle 13;2021;dic;666669569;297171409;369498160;94401575;36;3809;4570;Baja
Zona Bogota;Bogota Calle 13;2022;ene;501141914;267716143;233425771;-13335104;37;2745;4570;Perdida
Zona Bogota;Bogota Calle 13;2022;feb;538485479;275314129;263171350;42094726;37;2915;4570;Baja
Zona Bogota;Bogota Calle 13;2022;mar;604561302;312858470;291702832;61204613;36;3273;4570;Baja
Zona Bogota;Bogota Calle 13;2022;abr;554629408;323271706;231357702;-17684180;34;2921;4570;Perdida
Zona Bogota;Bogota Calle 13;2022;may;528664232;255188577;273475655;37394984;34;2885;4570;Baja
Zona Bogota;Bogota Calle 13;2022;jun;614100445;304550703;309549742;78161015;35;3096;4570;Baja
